Y,X,title,href,descriptio,id,data
13.057868,52.403476,"Am Nauener Tor
14467 Potsdam",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/332,"Mi,Sa<br />09:00 - 16:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/332"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/332,"{ ""id"": ""332"", ""bezirk"": ""Brandenburg"", ""location"": ""Am Nauener Tor\n14467 Potsdam"", ""latitude"": ""52,403476"", ""longitude"": ""13,057868"", ""tage"": ""Mi,Sa"", ""zeiten"": ""09:00 - 16:00"", ""betreiber"": ""Marktleitung: \nFrau Hüning, Tel.: 0171\/529 38 13"", ""email"
13.062124,52.401653,"Wochenmarkt Potsdam
Bassinplatz",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/334,"Mo - Fr
Sa<br />07:00 - 16:00
07:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/334"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/334,"{ ""id"": ""334"", ""bezirk"": ""Brandenburg"", ""location"": ""Wochenmarkt Potsdam\nBassinplatz"", ""latitude"": ""52,401653"", ""longitude"": ""13,062124"", ""tage"": ""Mo - Fr\nSa"", ""zeiten"": ""07:00 - 16:00\n07:00 - 13:00"", ""betreiber"": ""Stadtverwaltung Marktbüro\nTel.: 03"
13.095129,52.3942,"Floh- und Bauernmarkt in Potsdam
Weberplatz, 14482 Potsdam",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/336,"Sa<br />07:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/336"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/336,"{ ""id"": ""336"", ""bezirk"": ""Brandenburg"", ""location"": ""Floh- und Bauernmarkt in Potsdam\nWeberplatz, 14482 Potsdam"", ""latitude"": ""52,3942"", ""longitude"": ""13,095129"", ""tage"": ""Sa"", ""zeiten"": ""07:00 - 13:00"", ""betreiber"": ""Herr Koscholke, \nTel.: 03323\/52 1"
12.852106,52.289368,Großer Familien-Flohmarkt in Klaistow,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/338,"29.03.2015
05.07.2015
23.08.2015
08.11.2015<br />10:00 - 16:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/338"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/338,"{ ""id"": ""338"", ""bezirk"": ""Brandenburg"", ""location"": ""Großer Familien-Flohmarkt in Klaistow"", ""latitude"": ""52,289368"", ""longitude"": ""12,852106"", ""tage"": ""29.03.2015\n05.07.2015\n23.08.2015\n08.11.2015"", ""zeiten"": ""10:00 - 16:00"", ""betreiber"": ""Buschmann"
13.306558,52.517431,Richard-Wagner-Platz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/2,"Mo, Do<br />08:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/2"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/2,"{ ""id"": ""2"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Richard-Wagner-Platz"", ""latitude"": ""52,517431"", ""longitude"": ""13,306558"", ""tage"": ""Mo, Do"", ""zeiten"": ""08:00 - 13:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung,"
13.290719,52.517777,Klausenerplatz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/4,"Di, Fr<br />08:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/4"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/4,"{ ""id"": ""4"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Klausenerplatz"", ""latitude"": ""52,517777"", ""longitude"": ""13,290719"", ""tage"": ""Di, Fr"", ""zeiten"": ""08:00 - 13:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung, Hohen"
13.259213,52.512538,Preußenallee,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/6,"Di, Fr<br />08:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/6"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/6,"{ ""id"": ""6"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Preußenallee"", ""latitude"": ""52,512538"", ""longitude"": ""13,259213"", ""tage"": ""Di, Fr"", ""zeiten"": ""08:00 - 13:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung, Hohenz"
13.310362,52.508476,Karl-August-Platz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/8,"Mi
Sa<br />08:00 - 13:00
08:00 - 14:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/8"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/8,"{ ""id"": ""8"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Karl-August-Platz"", ""latitude"": ""52,508476"", ""longitude"": ""13,310362"", ""tage"": ""Mi\nSa"", ""zeiten"": ""08:00 - 13:00\n08:00 - 14:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Mark"
13.304475,52.525687,Mierendorffplatz,http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/10,"Mi,  Sa<br />08:00 - 13:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/10"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/10,"{ ""id"": ""10"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Mierendorffplatz"", ""latitude"": ""52,525687"", ""longitude"": ""13,304475"", ""tage"": ""Mi,  Sa"", ""zeiten"": ""08:00 - 13:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersdorf, Marktverwaltung, H"
13.294924,52.506637,"Suarezstraße 
(Amtsgericht Charlottenburg)",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/12,"Do<br />14:00 - 18:00<br /> <a href=""http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/12"">Mehr...</a>",http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/index.php/detail/12,"{ ""id"": ""12"", ""bezirk"": ""Charlottenburg-Wilmersdorf"", ""location"": ""Suarezstraße \n(Amtsgericht Charlottenburg)"", ""latitude"": ""52,506637"", ""longitude"": ""13,294924"", ""tage"": ""Do"", ""zeiten"": ""14:00 - 18:00"", ""betreiber"": ""Bezirksamt Charlottenburg-Wilmersd"
