"Y","X","title"
"13.057868","52.403476","Am Nauener Tor
14467 Potsdam"
"13.062124","52.401653","Wochenmarkt Potsdam
Bassinplatz"
"13.095129","52.3942","Floh- und Bauernmarkt in Potsdam
Weberplatz, 14482 Potsdam"
"12.852106","52.289368","Großer Familien-Flohmarkt in Klaistow"
"13.306558","52.517431","Richard-Wagner-Platz"
"13.290719","52.517777","Klausenerplatz"
"13.259213","52.512538","Preußenallee"
"13.310362","52.508476","Karl-August-Platz"
"13.304475","52.525687","Mierendorffplatz"
"13.294924","52.506637","Suarezstraße 
(Amtsgericht Charlottenburg)"
"13.293893","52.488414","Charlottenbrunner Straße"
"13.311153","52.473277","Eberbacher Straße"
"13.299706","52.495271","Nestorstraße"
"13.326001","52.494019","Hohenzollernplatz"
"13.427676","52.481239","Mainzer Straße"
"13.314225","52.490406","Mehrerer Einträge..."
"13.290745","52.476532","Kolberger Platz"
"13.301881","52.499211","Bauernmarkt am Lehniner Platz"
"13.349274","52.514127","Kunst- und Trödelmarkt 
Straße des 17. Juni"
"13.299687","52.473475","Trödelmarkt an der Mecklenburgischen Straße, Parkplatz Reichelt, Wiesbadener Str. 53 Ecke Mecklenburgische Straße"
"13.294055","52.515561","Straßenflohmarkt, Karée Nehringstraße - Klausenerplatz - Danckelmannstraße - Knobelsdorffstraße"
"13.324626","52.460928","Mehrerer Einträge..."
"13.449666","52.516919","Kino Kosmos, Karl-Marx-Allee 131 a"
"13.459593","52.510789","Mehrerer Einträge..."
"13.436754","52.518247","Koppenstraße / Ecke Karl-Marx-Allee"
"13.434654","52.511326","Am Kaufhof Ostbahnhof
(Erich-Steinfurth-Straße)"
"13.422153","52.4927","Schönleinstraße am Hohenstaufenplatz"
"13.390836","52.488566","Ökomarkt -  Chamissoplatz Berlin - Kreuzberg - Chamissoplatz"
"13.431592","52.500373","Öko - Markt auf dem Lausitzer Platz"
"13.391003","52.503736","Mehringplatz u. Friedrichstraße"
"13.43186","52.50202","Markthalle Neun, Eisenbahnstraße 42/43, 10997 Berlin"
